Appt DateTime,SO Number,Shipment ID
2024-09-06 00:00:00,7440658,9010156219
2024-09-06 00:00:00,7483391,9010156346
2024-09-06 00:00:00,7440310,9010156363
2024-09-06 00:00:00,7484015,9010156364
2024-09-06 00:00:00,7484006,9010156365
2024-09-06 00:00:00,7483256,9010156371
2024-09-06 00:00:00,7440362,9010156376
2024-09-06 00:00:00,7440666,9010156379
2024-09-06 00:00:00,7440672,9010156380
2024-09-06 00:00:00,7479831,9010156382
2024-09-06 00:00:00,7479832,9010156383
2024-09-06 00:00:00,7479867,9010156384
2024-09-06 00:00:00,7480534,9010156385
2024-09-06 00:00:00,7480790,9010156386
2024-09-06 00:00:00,7480747,9010156387
2024-09-06 00:00:00,7480523,9010156388
2024-09-06 00:00:00,7479840,9010156389
2024-09-06 00:00:00,7481079,9010156390
2024-09-06 00:00:00,7481211,9010156391
2024-09-06 00:00:00,7479322,9010156392
2024-09-06 00:00:00,7477001,9010156393
2024-09-06 00:00:00,7481308,9010156394
2024-09-06 00:00:00,7480558,9010156395
2024-09-06 00:00:00,7481785,9010156396
2024-09-06 00:00:00,7479350,9010156398
2024-09-06 00:00:00,7475881,9010156399
2024-09-06 00:00:00,7479321,9010156400
2024-09-06 00:00:00,7480577,9010156401
2024-09-06 00:00:00,7480724,9010156402
2024-09-06 00:00:00,7480723,9010156403
2024-09-06 00:00:00,7480721,9010156404
2024-09-06 00:00:00,7480755,9010156405
2024-09-06 00:00:00,7480720,9010156406
2024-09-06 00:00:00,7480719,9010156407
2024-09-06 00:00:00,7482100,9010156409
2024-09-06 00:00:00,7479860,9010156410
2024-09-06 00:00:00,7479833,9010156411
2024-09-06 00:00:00,7480522,9010156412
2024-09-06 00:00:00,7483438,9010156413
2024-09-06 00:00:00,7481070,9010156419
2024-09-06 00:00:00,7481097,9010156420
2024-09-06 00:00:00,7481334,9010156421
2024-09-06 00:00:00,7481956,9010156422
2024-09-06 00:00:00,7481904,9010156423
2024-09-06 00:00:00,7481918,9010156425
2024-09-06 00:00:00,7481360,9010156426
2024-09-06 00:00:00,7481066,9010156427
2024-09-06 00:00:00,7481902,9010156443
2024-09-06 00:00:00,7481966,9010156444
2024-09-06 00:00:00,7481053,9010156445
2024-09-06 00:00:00,7481071,9010156446
2024-09-06 00:00:00,7481927,9010156447
2024-09-06 00:00:00,7477317,9010156631
2024-09-06 00:00:00,7479739,9010156632
2024-09-06 00:00:00,7477343,9010156712
2024-09-06 00:00:00,7481863,9010156713
2024-09-06 00:00:00,7480609,9010156714
2024-09-05 19:30:00,7420763,9010156271
2024-09-05 19:30:00,7468574,9010156292
2024-09-05 19:30:00,7483512,9010156315
2024-09-05 14:30:00,7481221,9010156267
