Dwell Time,SO Number
0.0,7356199
2.53,7356199
1.48,7353568
3.25,7351848
1.83,7357830
3.87,7357831
1.82,7357832
5.2,"7354084,7354086"
0.0,"7355195,7354694,7355201,7355203,7355100,7355230,7355403,7355323,7355324,7355325,7355406,7355238,7355239,7355410,7355330,7355413"
4.78,7346859
3.85,7357837
5.1,7343106
3.9,7357838
6.02,"7356099,7356913"
1.73,7346858
2.65,7356178
3.33,7357738
0.0,7357822
1.88,7354085
2.9,7356793
1.33,7356088
2.68,7354579
3.53,7357822
1.83,7353267
1.82,7357001
3.15,7354578
1.55,7353265
1.25,7359712
1.03,"7356858,7353507"
4.85,7354577
1.63,7359713
2.32,"7354583,7354584"
3.17,7353565
4.0,7333078
3.92,7359744
1.38,7359715
3.85,7351356
8.58,7354082
3.18,7333136
2.53,7359716
1.2,7323358
0.0,"7355774,7356142,7356144"
2.0,7359897
0.77,7354611
1.83,7356812
5.63,7354576
1.72,7356813
1.45,7353808
1.08,7356810
1.55,7356811
0.98,7356915
1.42,7359733
1.87,7356916
1.93,7357956
0.78,7359714
2.33,7359898
0.0,"7355774,7356142,7356144"
2.0,7362617
1.57,7356800
1.12,"7357982,7361871"
1.83,7362619
1.57,7357003
0.92,7357004
1.8,7357931
1.67,"7357959,7357965"
2.45,7356911
1.95,7353564
1.42,7356124
1.22,7357534
4.55,7354582
1.95,"7358843,7359146"
3.22,7362620
3.02,"7355774,7356142,7356144"
10.77,7363698
2.43,7357007
1.18,7354919
1.52,7357006
1.5,7361870
3.9,7361870
1.92,7358657
7.37,7356584
1.92,7358657
0.0,7364641
0.0,7364632
0.0,7364725
0.0,7364634
0.0,7364629
0.3,7363812
0.0,7364637
2.68,7359717
4.1,7357002
2.18,"7357528,,7358747"
1.2,7357932
2.6,7362616
1.27,7359718
4.57,7353266
3.33,7359894
2.45,7356914
2.62,"7354640,7354641,7354648"
5.47,7354088
2.6,7362614
1.93,7362618
0.0,7363587
3.62,7364107
2.62,7358101
0.88,7354575
3.37,"7356854,7355023"
0.0,7357264
0.0,"7345474,7354971,7351154"
1.72,7363934
3.12,7354087
1.63,7362246
0.0,7354612
2.48,7363905
0.0,7363935
1.05,7359593
2.92,7363936
0.0,7363938
0.0,"7364690,7364252,7364504"
4.0,7364629
1.2,7364641
1.32,7360192
2.62,7360965
1.47,7365745
1.98,7361100
2.4,7360394
1.23,"7364835,7364382,7364269"
2.08,7361101
2.58,"7364691,7364987,7364381,7363799,7364410,7364261,7364505,7364413,7364414"
4.25,"7364982,7364832,7364833,7364375,7364378,7364250,7364262,7364400,7364266"
1.9,7363939
1.55,"7362375,7362479"
5.27,7360963
2.77,"7364981,7364688,7364689,7364374,7363796,7363797,7364397,7364501,7364503"
3.93,7365728
2.88,7354089
1.87,7364098
1.3,7363941
1.02,7365729
0.62,7362734
2.77,7365748
4.45,7361027
0.0,7360965
1.1,7357008
3.45,7286381
1.92,"7364986,7363798,7364412"
6.07,7364076
0.0,"7350110,7354644,7354962"
2.0,7286380
2.18,7357728
2.0,"7364985,7364380,7364267"
2.0,7364807
2.0,7289282
8.72,7289281
1.82,"7364983,7363795,7364264"
1.15,"7359258,7363039"
2.78,7363932
4.17,"7364830,7364984,7364834,7363794,7364379,7364251,7364260,7364265,7364268"
7.68,7282762
0.0,7281565
453.17,7367572
2.73,7362363
5.97,7362485
0.0,7365693
11.63,7362367
2.23,7365595
0.0,7367809
0.0,7363940
2.0,7359258
14.0,7361025
0.0,7354646
0.0,7354646
0.1,7362489
11.17,7361028
5.88,7363942
7.97,7365575
0.0,7359593
0.0,7363811
0.0,7363810
0.0,7364631
0.0,"7365755,7365762"
5.5,"7365791,7365793,7365796,7365765"
1.23,7362366
12.58,7362486
9.03,7362490
12.1,7360566
2.0,"7365794,7365795"
0.0,7365763
14.82,7362365
16.37,7362084
13.57,7281566
2.0,7282764
0.0,7363039
10.48,7281567
6.98,7364933
3.97,7283014
9.83,"7354963,7362087"
2.05,7367124
1.73,7368445
1.08,7361026
4.43,7362370
7.3,7362086
4.87,7368449
7.88,7362085
5.63,7360964
2.13,7281580
6.25,7360939
0.7,7323276
9.43,7357005
5.52,7362483
3.2,"7365792,7365764"
5.62,"7365504,7366097"
3.45,7357436
0.0,"7367256,7367278,7367288"
3.15,7357435
0.0,7367447
2.25,7367585
1.72,7333079
7.92,7365339
4.1,"7366891,7367079,7367254,7367273,7367308,7367275,7367401,7367407,7367285,7367318"
0.0,7367448
3.4,"7367251,7367098,7367316"
10.85,"7366890,7366894,7367080,7367082,7366897,7367258,7367276,7367311,7367279,7367319,7367289,7367322"
6.42,7281541
3.82,7362362
6.83,7282739
6.37,7282738
0.0,7365763
14.37,7366403
9.1,7357434
4.68,7371136
3.27,7351389
0.0,7282740
31.88,7368257
0.0,7367447
0.0,7364634
34.7,7365336
0.0,7314395
0.0,7282825
17.23,7365335
50.52,7365439
43.5,7371164
51.22,7365125
0.0,"7366896,7367277,7367320"
12.72,7356918
14.23,7371135
5.97,7356917
51.07,"7366382,7366384"
44.77,7371163
0.0,"7365845,7366004,7366005"
20.0,7282824
8.07,7313770
8.82,7367751
48.97,"7322122,7351719"
0.0,7281565
21.03,7371165
43.9,7366794
25.38,7282871
15.77,7371166
0.0,7304019
0.0,7314397
0.65,7363810
21.67,7314396
2.02,"7370657,7370742"
5.9,7304018
2.65,"7367077,7367283"
2.62,7365148
26.22,7313771
7.42,7370442
10.98,7282822
3.43,"7365542,7366195"
0.0,"7366892,7366893,7367081,7366898,7367274,7367100,7367310,7367403,7367408,7367409,7367287,7367290"
8.83,7365056
0.0,7367447
0.0,7372031
0.0,7372416
0.0,7372655
0.0,7372356
0.0,7363593
0.0,7372354
1.58,7363039
4.82,"7364831,7364687,7364836,7364692,7364376,7364377,7364383,7363800,7364263,7364399,7364270,7364507"
5.22,7320623
2.77,7321105
0.0,7372422
0.85,7365762
10.85,"7367700,7367762"
5.9,"7363204,7365274"
6.18,7365337
3.0,7342138
5.0,7360393
3.87,7365150
0.0,180795
0.0,180797
3.33,7372042
0.0,180796
2.68,7366925
3.67,7372044
0.0,7304019
0.0,7363587
0.0,7282825
8.88,7281543
2.5,"7367249,7367252,7367078,7367306,7367307,7367099,7367406,7367284,7367317"
0.0,7314395
4.1,7281579
3.37,7281565
0.0,7364725
4.48,7360392
8.25,7365334
9.6,7362368
9.87,7362361
1.23,7303893
11.03,7365437
0.0,"7366895,7367309,7367286"
8.92,7365149
8.57,7365438
23.87,7362482
12.17,"7371878,7371895,7372154"
8.37,7372034
13.05,7365338
11.78,7361102
10.73,7365332
1.97,7372362
9.18,"7365845,7366004,7366005"
2.33,7372355
9.33,7369921
13.77,"7372201,7372202,7372204,7371889,7372212,7371892,7372219,7371900,7372222"
4.85,7303892
1.85,"7371876,7371886,7372158"
11.05,7282740
0.0,7364637
4.58,7357009
5.5,7370107
8.53,7370106
10.08,7369577
0.0,7350059
0.0,"7371882,7372153,7372301"
0.0,"7372205,7372215,7372304,7372206,7371894,7372225,7371881,7372211,7371898"
13.02,7371625
16.07,7365333
4.32,"7340418,7351916"
15.85,7362497
11.05,"7371697,7371880,7372207,7371890,7372157,7371899"
9.95,7374802
1.67,7304019
7.18,7282766
12.78,7373051
0.0,"7373313,7373314,7373481,7373482"
11.65,7376277
6.68,7282767
0.0,7314397
0.0,7282740
4.8,"7371696,7371877,7371700,7371885,7371887,7372210,7372156,7371896,7371893"
3.97,7369927
0.0,7314395
2.77,"7367257,7367259,7367402,7367312,7367321,7367410"
3.5,7369922
12.02,"7357494,7350111"
0.0,7367277
2.7,7360940
21.48,7353722
9.68,7365442
0.0,"7371698,7371699,7371879,7372208,7372209,7372152,7372217,7372213,7372218"
11.82,7371943
150.38,7371846
0.0,7373238
0.0,"7371632,7371461"
2687.42,7377072
0.0,7376354
0.0,7377041
0.0,7377069
5.18,7282825
1.78,7371580
4.37,7370104
3.08,7371634
6.57,7369924
9.47,"7372203,7372221"
11.23,7377407
0.0,7377637
0.0,7368232
4.63,"7366892,7366893,7367081,7366898,7367274,7367100,7367310,7367408,7367409,7367287,7367290"
9.28,7374801
0.0,7377637
2.12,7369926
4.97,7371590
9.02,7371630
12.32,7370105
0.0,7367320
11.9,7369923
0.0,7372810
13.3,7370103
7.23,7332438
14.88,7365440
0.0,7367403
0.0,7371546
0.0,7376970
0.0,7376888
0.0,7376965
0.0,7363593
6.0,7362487
4.15,"7372205,7372215,7372304,7372206,7371894,7372225,7371881,7372211,7371898,7376627,7376648"
0.0,7303891
3.77,7374807
3.73,7369835
